algorithm,endpoint,count,avg_total_time,min_total_time,max_total_time,stdev_total_time
least_connections,/file-request,22,1.2416567260568792,0.4121425151824951,3.9282805919647217,0.9233255024648382
power_of_two,/file-request,14,0.9001763037272862,0.5727789402008057,1.5397567749023438,0.3319904743704374
round_robin,/file-request,20,1.4003679871559143,0.5394957065582275,4.051747560501099,0.8625824268940461
random,/file-request,14,1.1021097217287337,0.5012679100036621,3.2632503509521484,0.7307974418923836
