algorithm,endpoint,count,avg_total_time,min_total_time,max_total_time,stdev_total_time
round_robin,/request,201,0.5460862532183899,0.500176191329956,0.8974587917327881,0.0678959314298594
least_connections,/file-request,22,1.2416567260568792,0.4121425151824951,3.9282805919647217,0.9233255024648382
power_of_two,/request,218,0.5346224690796039,0.5001153945922852,0.8963515758514404,0.05215668758859501
random,/request,204,0.5423643998071259,0.5000948905944824,0.8949456214904785,0.05683542917319263
ip_hash,/request,191,0.5364486434696857,0.5002753734588623,0.8909053802490234,0.05525842989756754
least_connections,/request,188,0.5524892768961318,0.5001904964447021,0.8931119441986084,0.06333563051590875
power_of_two,/file-request,14,0.9001763037272862,0.5727789402008057,1.5397567749023438,0.3319904743704374
round_robin,/file-request,20,1.4003679871559143,0.5394957065582275,4.051747560501099,0.8625824268940461
random,/file-request,14,1.1021097217287337,0.5012679100036621,3.2632503509521484,0.7307974418923836
